,personnel-costs-row.amount,material-costs-row.amount,rent-costs-row.amount,service-purchase-costs-row.amount,steamship-costs-row.amount,other-costs-row.amount,equipment-costs-row.amount,coordination-costs-row.amount,other-costs-row-2.amount,personnel-costs-row.amount-18,material-costs-row.amount-18,menotamount,project-incomes-row.amount,own-income-row.amount,eu-programs-income-row.amount,other-public-financing-income-row.amount,private-financing-income-row.amount,tulotamount,summaamount,SummienTodennakoisyys,radioButton-good-practices,organization_name,project_name,ei-tuotos-tyyppia,henkiloestoeliikkuvuudet-lkm,julkaisut,kasikirja,koulutus,muu-tuotos,ohjelma,opiskelijaliikkuvuudet-lkm,raportti,selvitys,tapahtuma,toimintamalli,tutkimus,verkkosivut,min,max,std,mean,sum,haku_id,osa_alue_id,osa_alue_nimi
40Maija Rikberg Kotkan kaupunkiVuorovaikutuksellisen pienryhmätoiminnan vahvistaminen,65316.0,1904.0,0.0,22201.0,4927.0,2663.0,0.0,0.0,0.0,0.0,0.0,97011.0,0.0,0.0,0.0,0.0,0.0,0.0,-97011.0,78.78783538209247,,Maija Rikberg Kotkan kaupunki,Vuorovaikutuksellisen pienryhmätoiminnan vahvistaminen,3.0,,,,,,,,,,,,,,-0.4,0.8,0.3087985832060766,0.1907407407407408,0.0,40,1,01 Varhaiskasvatus
40Limingan kuntaUudistuva varhaiskasvatus Limingassa,13566.0,1045.0,0.0,14605.0,2898.0,1149.0,0.0,0.0,0.0,0.0,0.0,33263.0,0.0,0.0,0.0,0.0,0.0,0.0,-33263.0,79.24077906645311,,Limingan kunta,Uudistuva varhaiskasvatus Limingassa,2.0,,,,,,,,,,,,,,0.0,0.9,0.3238916299366502,0.3375,0.0,40,1,01 Varhaiskasvatus
40Laukaan kuntaMUUTOKSEN TUULISSA-toimintakulttuurin kehittäminen,10505.0,1579.0,0.0,14439.0,20.0,140.0,0.0,0.0,0.0,0.0,0.0,26683.0,0.0,0.0,0.0,0.0,0.0,0.0,-26683.0,79.10150985502905,,Laukaan kunta,MUUTOKSEN TUULISSA-toimintakulttuurin kehittäminen,3.0,,,,,,,,,,,,,,0.0,0.8,0.24717485391702,0.4722222222222222,0.0,40,1,01 Varhaiskasvatus
40Lapuan kaupunkiPedagogiikan yhteisöllinen kehittäminen,11770.0,382.0,300.0,933.0,317.0,1368.0,0.0,0.0,0.0,0.0,0.0,15070.0,10150.0,0.0,0.0,0.0,0.0,10150.0,-4920.0,79.02600878599578,,Lapuan kaupunki,Pedagogiikan yhteisöllinen kehittäminen,3.0,,,,,,,,,,,,,,-0.1,0.8,0.3231589846921545,0.32222222222222224,0.0,40,1,01 Varhaiskasvatus
40Laitilan kaupunkiLaitilan VARKE-hanke,13416.0,710.0,0.0,10496.0,1150.0,1609.0,0.0,0.0,0.0,0.0,0.0,27381.0,0.0,0.0,0.0,0.0,0.0,0.0,-27381.0,81.03116635796472,,Laitilan kaupunki,Laitilan VARKE-hanke,3.0,,,,,,,,,,,,,,0.2,0.9,0.21213203435596426,0.5499999999999999,0.0,40,1,01 Varhaiskasvatus
"40Laihian kuntaOravametsän hedelmä, Kyrönmaan hedelmä",24594.0,600.0,0.0,18263.0,1699.0,0.0,0.0,0.0,0.0,0.0,0.0,45156.0,0.0,0.0,0.0,0.0,0.0,0.0,-45156.0,79.4044691815335,,Laihian kunta,"Oravametsän hedelmä, Kyrönmaan hedelmä",4.0,,,,,,,,,,,,,,-0.2,0.8,0.2992520396900337,0.2384027777777778,0.0,40,1,01 Varhaiskasvatus
40Lahden kaupunkiYhteishanke kunnallisten varhaiskasvatuspalveluiden seudulliseksi kehittämiseksi,76761.0,1095.0,4249.0,131081.0,14355.0,14332.0,0.0,0.0,0.0,0.0,0.0,241873.0,0.0,0.0,0.0,0.0,0.0,0.0,-241873.0,46.545705511775644,,Lahden kaupunki,Yhteishanke kunnallisten varhaiskasvatuspalveluiden seudulliseksi kehittämiseksi,3.0,,,,,,,,,,,,,,-0.1,0.8,0.29287490528373344,0.27222222222222225,0.0,40,1,01 Varhaiskasvatus
40Lappeenrannan kaupunki/varhaiskasvatusVasureivaus 2016-2017,0.0,2158.0,0.0,81291.0,0.0,2133.0,0.0,0.0,0.0,0.0,0.0,85582.0,0.0,0.0,0.0,0.0,0.0,0.0,-85582.0,67.85039116390226,,Lappeenrannan kaupunki/varhaiskasvatus,Vasureivaus 2016-2017,3.0,,,,,,,,,,,,,,-0.5,0.6,0.2868530796848132,0.1019047619047619,0.0,40,1,01 Varhaiskasvatus
40Kouvolan kaupunki/ varhaiskasvatusKehittävä palaute varhaiskasvatuksessa,312651.0,14124.0,10669.0,84757.0,12398.0,29130.0,0.0,0.0,0.0,0.0,0.0,463729.0,0.0,0.0,0.0,0.0,0.0,0.0,-463729.0,49.41841509639632,,Kouvolan kaupunki/ varhaiskasvatus,Kehittävä palaute varhaiskasvatuksessa,5.0,,,,,,,,,,,,,,0.0,0.7,0.19733673653474346,0.22866666666666666,0.0,40,1,01 Varhaiskasvatus
40Kontiolahden kuntaJoensuun seudun VASU2017-prosessi,73853.0,0.0,7788.0,10723.0,2543.0,595.0,0.0,0.0,0.0,0.0,0.0,95502.0,0.0,0.0,0.0,48502.0,0.0,48502.0,-47000.0,45.951260134433966,,Kontiolahden kunta,Joensuun seudun VASU2017-prosessi,3.0,,,,,,,,,,,,,,-0.2,0.7,0.2558613567338169,0.2483333333333333,0.0,40,1,01 Varhaiskasvatus
40Kokkolan kaupunkiVarhaiskasvatus yhteinen asiamme,36939.0,9001.0,0.0,0.0,4574.0,3685.0,0.0,0.0,0.0,0.0,0.0,54199.0,0.0,0.0,0.0,0.0,0.0,0.0,-54199.0,77.97364274827581,,Kokkolan kaupunki,Varhaiskasvatus yhteinen asiamme,2.0,,,,,,,,,,,,,,0.0,0.3,0.11724767803333393,0.16190476190476188,0.0,40,1,01 Varhaiskasvatus
40Kirkkonummen kuntaDiggaa mun digimatkaa - Digitaaliset portfoliot varhaiskasvatuksen pedagogisen toimintakulttuurin kehittämisessä,101975.0,1686.0,1723.0,75336.0,2757.0,658.0,0.0,0.0,0.0,0.0,0.0,184135.0,0.0,0.0,0.0,0.0,0.0,0.0,-184135.0,70.46399279435074,,Kirkkonummen kunta,Diggaa mun digimatkaa - Digitaaliset portfoliot varhaiskasvatuksen pedagogisen toimintakulttuurin kehittämisessä,3.0,,,,,,,,,,,,,,-0.8,0.8,0.3184609804866408,0.1630952380952381,0.0,40,1,01 Varhaiskasvatus
40Kaustisen kuntaAlueellisesti kehittyvä varhaiskasvatus,39944.0,4165.0,1121.0,6033.0,1722.0,1517.0,0.0,0.0,0.0,0.0,0.0,54502.0,0.0,0.0,0.0,0.0,0.0,0.0,-54502.0,79.5274012130023,,Kaustisen kunta,Alueellisesti kehittyvä varhaiskasvatus,2.0,,,,,,,,,,,,,,0.0,0.9,0.2540826167337262,0.38125,0.0,40,1,01 Varhaiskasvatus
40Kannuksen kaupunkiMukana pienten askelissa,10477.0,337.0,0.0,9219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20033.0,0.0,0.0,0.0,0.0,0.0,0.0,-20033.0,92.5991043770686,,Kannuksen kaupunki,Mukana pienten askelissa,3.0,,,,,,,,,,,,,,-0.3,0.3,0.18856180831641267,4.6259292692714846e-18,0.0,40,1,01 Varhaiskasvatus
40Huittisten kaupunkiVarhaiskasvatuksen uusi toimintakultuuri - Ilo & Onni,0.0,0.0,0.0,9750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9750.0,0.0,0.0,0.0,0.0,0.0,0.0,-9750.0,93.69482396549944,,Huittisten kaupunki,Varhaiskasvatuksen uusi toimintakultuuri - Ilo & Onni,3.0,,,,,,,,,,,,,,0.0,0.7,0.19711971193069774,0.2777777777777777,0.0,40,1,01 Varhaiskasvatus
40Kauniaisten kaupunkiKauniaisten varhaiskasvatuksen kehittäminen,11564.0,0.0,0.0,1980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13544.0,0.0,0.0,0.0,0.0,0.0,0.0,-13544.0,98.24098585246605,,Kauniaisten kaupunki,Kauniaisten varhaiskasvatuksen kehittäminen,4.0,,,,,,,,,,,,,,-0.3,0.6,0.3223433341378839,0.23541666666666666,0.0,40,1,01 Varhaiskasvatus
40Jokioisten kunta Pedagogiikka vahvaksi -päivityshanke,5777.0,500.0,0.0,8370.0,1507.0,504.0,0.0,0.0,0.0,0.0,0.0,16658.0,0.0,0.0,0.0,0.0,0.0,0.0,-16658.0,90.06377467958158,,Jokioisten kunta ,Pedagogiikka vahvaksi -päivityshanke,3.0,,,,,,,,,,,,,,-0.6,0.9,0.4302160094063817,0.3358333333333333,0.0,40,1,01 Varhaiskasvatus
"40Haapajärven kaupunkiKokeile, keksi, oivalla!",27288.0,0.0,0.0,1293.0,1184.0,858.0,0.0,0.0,0.0,0.0,0.0,30623.0,0.0,0.0,0.0,0.0,0.0,0.0,-30623.0,97.17513823781977,,Haapajärven kaupunki,"Kokeile, keksi, oivalla!",3.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,40,1,01 Varhaiskasvatus
"40Haapaveden kaupunki, opetustoimiVarhaiskasvatus vauhtiin verkoston voimalla",14042.0,156.0,0.0,34237.0,1164.0,68.0,0.0,0.0,0.0,0.0,0.0,49667.0,0.0,0.0,0.0,0.0,0.0,0.0,-49667.0,77.92490035099529,,"Haapaveden kaupunki, opetustoimi",Varhaiskasvatus vauhtiin verkoston voimalla,3.0,,,,,,,,,,,,,,-0.6,0.9,0.3529005243399374,0.3504629629629629,0.0,40,1,01 Varhaiskasvatus
40Ähtärin kaupunkiVarhaiskasvatuksen kehittäminen,17307.0,3157.0,0.0,6094.0,2377.0,0.0,0.0,0.0,0.0,0.0,0.0,28935.0,0.0,0.0,0.0,0.0,0.0,0.0,-28935.0,79.30734199121572,,Ähtärin kaupunki,Varhaiskasvatuksen kehittäminen,2.0,,,,,,,,,,,,,,-0.1,0.7,0.2199082713575422,0.13068181818181818,0.0,40,1,01 Varhaiskasvatus
40Utajärven kuntaVarhaiskasvatuksen kehittäminen,6479.0,1020.0,0.0,0.0,63.0,1122.0,0.0,0.0,0.0,0.0,0.0,8684.0,0.0,0.0,0.0,0.0,0.0,0.0,-8684.0,79.01357752949143,,Utajärven kunta,Varhaiskasvatuksen kehittäminen,3.0,,,,,,,,,,,,,,-0.2,0.8,0.3143537389647173,0.2788888888888889,0.0,40,1,01 Varhaiskasvatus
40Riihimäen kaupunkiKULTA TOIVO; Lasten kulttuuriset taustat toiminnan voimavarana varhaiskasvatuksessa.,90151.0,4117.0,2375.0,4823.0,781.0,15.0,0.0,0.0,0.0,0.0,0.0,102262.0,0.0,0.0,0.0,0.0,0.0,0.0,-102262.0,78.85269680400272,,Riihimäen kaupunki,KULTA TOIVO; Lasten kulttuuriset taustat toiminnan voimavarana varhaiskasvatuksessa.,4.0,,,,,,,,,,,,,,0.0,0.8,0.2463030460516651,0.253640873015873,0.0,40,1,01 Varhaiskasvatus
"40Valkeakosken kaupunki/Valkeakoski-opistoYhdessä enemmän – seudullista varhaiskasvatuksen yhteistyötä, suunnittelussa ja arjen pedagogiikassa",46899.0,50.0,785.0,10415.0,2025.0,1668.0,0.0,0.0,0.0,0.0,0.0,61842.0,0.0,0.0,0.0,0.0,0.0,0.0,-61842.0,79.59414643130617,,Valkeakosken kaupunki/Valkeakoski-opisto,"Yhdessä enemmän – seudullista varhaiskasvatuksen yhteistyötä, suunnittelussa ja arjen pedagogiikassa",2.0,,,,,,,,,,,,,,0.0,0.9,0.2280790930508993,0.2828571428571428,0.0,40,1,01 Varhaiskasvatus
40Ulvilan kaupunkiPedagogisen johtajuuden ja tiimityön kautta kohti vahvaa arjen pedagogiikkaa,10114.0,445.0,0.0,3506.0,503.0,450.0,0.0,0.0,0.0,0.0,0.0,15018.0,0.0,0.0,0.0,0.0,0.0,0.0,-15018.0,93.06235820805719,,Ulvilan kaupunki,Pedagogisen johtajuuden ja tiimityön kautta kohti vahvaa arjen pedagogiikkaa,3.0,,,,,,,,,,,,,,0.0,0.9,0.34401370933632897,0.3694444444444445,0.0,40,1,01 Varhaiskasvatus
40Raision kaupunkiVarhaiskasvatuksen laadun kehittäminen Raisiossa - tavoitteista arjen tekoihin,71960.0,1326.0,0.0,5481.0,979.0,0.0,0.0,0.0,0.0,0.0,0.0,79746.0,0.0,0.0,0.0,0.0,0.0,0.0,-79746.0,79.24124686107415,,Raision kaupunki,Varhaiskasvatuksen laadun kehittäminen Raisiossa - tavoitteista arjen tekoihin,3.0,,,,,,,,,,,,,,0.0,0.2,0.03849001794597505,0.022222222222222227,0.0,40,1,01 Varhaiskasvatus
40Suonenjoen kaupunkiToimiva lapsi – toimiva arki,2699.0,0.0,0.0,32078.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,35360.0,0.0,0.0,0.0,0.0,0.0,0.0,-35360.0,77.97035367410736,,Suonenjoen kaupunki,Toimiva lapsi – toimiva arki,6.0,,,,,,,,,,,,,,-0.7,0.9,0.4339128129563772,0.02595238095238097,0.0,40,1,01 Varhaiskasvatus
40Porvoon kaupunkiOppivan yhteisön avaimet - Nycklarna till den lärande organisationen,16538.0,18371.0,4965.0,22010.0,424.0,2471.0,0.0,0.0,0.0,0.0,0.0,64779.0,0.0,0.0,0.0,0.0,0.0,0.0,-64779.0,71.29988065266197,,Porvoon kaupunki,Oppivan yhteisön avaimet - Nycklarna till den lärande organisationen,3.0,,,,,,,,,,,,,,-0.2,0.8,0.23070123881989155,0.26611111111111113,0.0,40,1,01 Varhaiskasvatus
40Nakkilan kuntaNakkilan lasten kuperkeikka,17151.0,298.0,0.0,9108.0,153.0,23.0,0.0,0.0,0.0,0.0,0.0,26733.0,0.0,0.0,0.0,0.0,0.0,0.0,-26733.0,93.66394881273787,,Nakkilan kunta,Nakkilan lasten kuperkeikka,6.0,,,,,,,,,,,,,,-0.7,0.9,0.3427810718210516,0.3944444444444445,0.0,40,1,01 Varhaiskasvatus
40Muhoksen kuntaUudistuva varhaiskasvatus,1064.0,496.0,0.0,13094.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,14786.0,0.0,0.0,0.0,0.0,0.0,0.0,-14786.0,85.41573394941553,,Muhoksen kunta,Uudistuva varhaiskasvatus,3.0,,,,,,,,,,,,,,0.0,0.7,0.1981750910695876,0.24555555555555555,0.0,40,1,01 Varhaiskasvatus
40Ristijärven kuntaPedagogiikkaa pitäjän pirpanoille ja pirpanoiden paijaajille,0.0,589.0,0.0,4196.0,4322.0,0.0,0.0,0.0,0.0,0.0,0.0,9107.0,0.0,0.0,0.0,0.0,0.0,0.0,-9107.0,78.92068769065874,,Ristijärven kunta,Pedagogiikkaa pitäjän pirpanoille ja pirpanoiden paijaajille,4.0,,,,,,,,,,,,,,-0.4,0.9,0.3331058277282437,0.34,0.0,40,1,01 Varhaiskasvatus
40Rovaniemen kaupunki varhaiskasvatuspalvelutOsallistavalla johtajuudella pedagogiseen toimintaympäristöön,89116.0,0.0,0.0,20230.0,1603.0,2075.0,0.0,0.0,0.0,0.0,0.0,113024.0,0.0,0.0,0.0,0.0,0.0,0.0,-113024.0,78.77549882310291,,Rovaniemen kaupunki varhaiskasvatuspalvelut,Osallistavalla johtajuudella pedagogiseen toimintaympäristöön,12.0,,,,,,,,,,,,,,-0.2,0.8,0.2531351199025146,0.08591269841269837,0.0,40,1,01 Varhaiskasvatus
"40Savonlinnan kaupunkiPäiväkotien toimintakulttuurin kehittäminen, arviointi ja muuttaminen Savonlinna 2016-2017",11430.0,0.0,0.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20430.0,0.0,0.0,0.0,0.0,0.0,0.0,-20430.0,94.7256962303176,,Savonlinnan kaupunki,"Päiväkotien toimintakulttuurin kehittäminen, arviointi ja muuttaminen Savonlinna 2016-2017",2.0,,,,,,,,,,,,,,0.0,0.4,0.28284271247461906,0.2,0.0,40,1,01 Varhaiskasvatus
40Siuntion kunta / Sjundeå kommunVAIKUTTAVAN VARHAISKASVATUKSEN ASKELMERKIT -VARHAISKASVATUKSEN PEDAGOGISEN TOIMINTAKULTTUURIN KEHITTÄMINEN OPPIVAKSI JA OSALLISTAVAKSI YHTEISÖKSI LÄNSI-UUDENMAAN KUNNISSA 2016-2017,53884.0,440.0,298.0,48820.0,7335.0,7840.0,0.0,0.0,0.0,0.0,0.0,118617.0,0.0,0.0,0.0,0.0,0.0,0.0,-118617.0,75.36253109211246,,Siuntion kunta / Sjundeå kommun,VAIKUTTAVAN VARHAISKASVATUKSEN ASKELMERKIT -VARHAISKASVATUKSEN PEDAGOGISEN TOIMINTAKULTTUURIN KEHITTÄMINEN OPPIVAKSI JA OSALLISTAVAKSI YHTEISÖKSI LÄNSI-UUDENMAAN KUNNISSA 2016-2017,3.0,,,,,,,,,,,,,,-0.8,0.8,0.35793155528540826,0.08552188552188554,0.0,40,1,01 Varhaiskasvatus
40Sodankylän kuntaOppimisympäristöjen kehittäminen ja pedagogisen kahvilatoiminnan perustaminen varhaiskasvatuksessa,0.0,138.0,0.0,14092.0,5156.0,0.0,0.0,0.0,0.0,0.0,0.0,19386.0,0.0,0.0,0.0,0.0,0.0,0.0,-19386.0,78.64687480436129,,Sodankylän kunta,Oppimisympäristöjen kehittäminen ja pedagogisen kahvilatoiminnan perustaminen varhaiskasvatuksessa,2.0,,,,,,,,,,,,,,0.0,0.9,0.2810191954151804,0.265,0.0,40,1,01 Varhaiskasvatus
"40Mäntyharjun kuntaPAOVA - Pedagogiikan, johtamisen, arvioinnin ja osallisuuden kehittämis- ja tutkimushanke varhaiskasvatuksessa",81307.0,870.0,384.0,16600.0,3193.0,1397.0,0.0,0.0,0.0,0.0,0.0,103751.0,0.0,0.0,0.0,0.0,0.0,0.0,-103751.0,79.21099200370419,,Mäntyharjun kunta,"PAOVA - Pedagogiikan, johtamisen, arvioinnin ja osallisuuden kehittämis- ja tutkimushanke varhaiskasvatuksessa",5.0,,,,,,,,,,,,,,-0.2,0.9,0.2778138536911823,0.206,0.0,40,1,01 Varhaiskasvatus
40Mänttä-Vilppulan kaupunkiYhdessä osallistuen,6056.0,0.0,0.0,9486.0,434.0,590.0,0.0,0.0,0.0,0.0,0.0,16566.0,0.0,0.0,0.0,0.0,0.0,0.0,-16566.0,94.42749338841308,,Mänttä-Vilppulan kaupunki,Yhdessä osallistuen,2.0,,,,,,,,,,,,,,0.0,0.9,0.20644041703660648,0.3633333333333333,0.0,40,1,01 Varhaiskasvatus
"40Uuraisten kuntaOsallisuutta pienestä pitäen Uuraisten varhaiskasvatuksessa - ""SALLI""-hanke",2800.0,540.0,0.0,12482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15822.0,0.0,0.0,0.0,0.0,0.0,0.0,-15822.0,84.69014964375054,,Uuraisten kunta,"Osallisuutta pienestä pitäen Uuraisten varhaiskasvatuksessa - ""SALLI""-hanke",3.0,,,,,,,,,,,,,,0.0,0.7,0.1563361551210734,0.24444444444444444,0.0,40,1,01 Varhaiskasvatus
40Alavuden kaupunkiPALAPELI - parempaa laatua ja pedagogiikkaa lisäten,5795.0,3357.0,1198.0,11825.0,2277.0,0.0,0.0,0.0,0.0,0.0,0.0,24452.0,0.0,0.0,0.0,0.0,0.0,0.0,-24452.0,79.4199356989507,,Alavuden kaupunki,PALAPELI - parempaa laatua ja pedagogiikkaa lisäten,3.0,,,,,,,,,,,,,,0.0,0.9,0.31178781815135603,0.19444444444444445,0.0,40,1,01 Varhaiskasvatus
40Varkauden kaupunki / VarhaiskasvatusKultaVasu - Varkauden kaupungin varhaiskasvatuksen pedagoginen kehittäminen kulttuurin ja taiteen keinoin,42310.0,7929.0,0.0,12300.0,1205.0,279.0,0.0,0.0,0.0,0.0,0.0,64023.0,0.0,0.0,0.0,0.0,0.0,0.0,-64023.0,78.47037780908876,,Varkauden kaupunki / Varhaiskasvatus,KultaVasu - Varkauden kaupungin varhaiskasvatuksen pedagoginen kehittäminen kulttuurin ja taiteen keinoin,3.0,,,,,,,,,,,,,,0.0,0.9,0.26178892907083,0.3055555555555555,0.0,40,1,01 Varhaiskasvatus
40Vörå kommunUtveckling av småbarnspedagogik,56440.0,0.0,2367.0,13639.0,4407.0,3.0,0.0,0.0,0.0,0.0,0.0,76856.0,53000.0,0.0,0.0,0.0,0.0,53000.0,-23856.0,61.09985135605322,,Vörå kommun,Utveckling av småbarnspedagogik,2.0,,,,,,,,,,,,,,0.0,0.7,0.1755942292142123,0.18333333333333332,0.0,40,1,01 Varhaiskasvatus
40Raseborgs stadTillsammans med barnet!,8897.0,320.0,0.0,5643.0,5004.0,867.0,0.0,0.0,0.0,0.0,0.0,20731.0,0.0,0.0,0.0,0.0,0.0,0.0,-20731.0,78.9067590219078,,Raseborgs stad,Tillsammans med barnet!,2.0,,,,,,,,,,,,,,-0.2,0.7,0.21217498394786904,0.27291666666666664,0.0,40,1,01 Varhaiskasvatus
40Kimitoöns kommunDu med naturen (DuMeNa),30766.0,4329.0,1046.0,9293.0,4714.0,4662.0,0.0,0.0,0.0,0.0,0.0,54810.0,0.0,0.0,0.0,0.0,0.0,0.0,-54810.0,79.39510128686281,,Kimitoöns kommun,Du med naturen (DuMeNa),5.0,,,,,,,,,,,,,,-0.2,0.9,0.32830558635903995,0.3280952380952381,0.0,40,1,01 Varhaiskasvatus
40Kronoby kommunUtvecklande av småbarnspedagogiken i Jakobstadsregionen,39103.0,4585.0,0.0,41157.0,2190.0,3041.0,0.0,0.0,0.0,0.0,0.0,90076.0,0.0,0.0,0.0,0.0,0.0,0.0,-90076.0,77.06510620710277,,Kronoby kommun,Utvecklande av småbarnspedagogiken i Jakobstadsregionen,2.0,,,,,,,,,,,,,,0.0,0.8,0.28547695689153835,0.3250000000000001,0.0,40,1,01 Varhaiskasvatus
40Nurmeksen kaupunkiYhdessä eheään varhaiskasvatukseen,2706.0,2731.0,0.0,9563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,-15000.0,79.04184612174463,,Nurmeksen kaupunki,Yhdessä eheään varhaiskasvatukseen,4.0,,,,,,,,,,,,,,0.0,0.8,0.2387596064762686,0.2830555555555556,0.0,40,1,01 Varhaiskasvatus
40Pargas stad Närmiljön som lärmiljö,8736.0,3198.0,0.0,6610.0,2449.0,126.0,0.0,0.0,0.0,0.0,0.0,21119.0,0.0,0.0,0.0,0.0,0.0,0.0,-21119.0,79.22484256342663,,Pargas stad ,Närmiljön som lärmiljö,1.0,,,,,,,,,,,,,,0.0,0.4,0.16035674514745465,0.2285714285714286,0.0,40,1,01 Varhaiskasvatus
40Parkanon kaupunkiVarhaiskasvatusta lapsen äänellä!,4226.0,0.0,432.0,18469.0,3269.0,0.0,0.0,0.0,0.0,0.0,0.0,26396.0,0.0,0.0,0.0,0.0,0.0,0.0,-26396.0,79.07164001709877,,Parkanon kaupunki,Varhaiskasvatusta lapsen äänellä!,2.0,,,,,,,,,,,,,,-0.2,0.8,0.22044886259681765,0.4214285714285714,0.0,40,1,01 Varhaiskasvatus
40Perhon kuntaTietoa ja taitoa varhaiskasvatukseen,25537.0,1146.0,0.0,3266.0,387.0,275.0,0.0,0.0,0.0,0.0,0.0,30611.0,0.0,0.0,0.0,20321.0,0.0,20321.0,-10290.0,46.84113567152673,,Perhon kunta,Tietoa ja taitoa varhaiskasvatukseen,3.0,,,,,,,,,,,,,,0.1,0.7,0.21213203435596426,0.45,0.0,40,1,01 Varhaiskasvatus
"40Ruokolahden kuntaVarhaiskasvatuksen kehittämishanke Parikkalassa, Rautjärvellä ja Ruokolahdella",363.0,0.0,210.0,12929.0,7427.0,141.0,0.0,0.0,0.0,0.0,0.0,21070.0,0.0,0.0,0.0,0.0,0.0,0.0,-21070.0,77.94512640578769,,Ruokolahden kunta,"Varhaiskasvatuksen kehittämishanke Parikkalassa, Rautjärvellä ja Ruokolahdella",3.0,,,,,,,,,,,,,,0.0,0.7,0.16737568526551916,0.275,0.0,40,1,01 Varhaiskasvatus
"40Tampereen kaupunki, Varhaiskasvatus ja perusopetusVarhaiskasvatuksen oppivat yhteisöt ja seutukunta",291210.0,1453.0,6626.0,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307689.0,0.0,0.0,0.0,0.0,0.0,0.0,-307689.0,65.67111132102842,,"Tampereen kaupunki, Varhaiskasvatus ja perusopetus",Varhaiskasvatuksen oppivat yhteisöt ja seutukunta,2.0,,,,,,,,,,,,,,-0.1,0.9,0.31129523712354673,0.3232142857142857,0.0,40,1,01 Varhaiskasvatus
40Oulun kaupunkiUudistuva varhaiskasvatus Oulussa,116261.0,4241.0,0.0,31351.0,620.0,2690.0,0.0,0.0,0.0,0.0,0.0,155163.0,0.0,0.0,0.0,52263.0,0.0,52263.0,-102900.0,45.75983027764494,,Oulun kaupunki,Uudistuva varhaiskasvatus Oulussa,5.0,,,,,,,,,,,,,,-0.2,0.8,0.1923732754809576,0.11781746031746032,0.0,40,1,01 Varhaiskasvatus
"40Seinäjoen kaupunki, VarhaiskasvatusSeinäjoen kaupungin varhaiskasvatuksen oppimisympäristöjen, TVT- ja liikuntakasvatuksen kehittäminen",138637.0,1272.0,0.0,15600.0,6347.0,153.0,0.0,0.0,0.0,0.0,0.0,162009.0,0.0,0.0,0.0,0.0,0.0,0.0,-162009.0,77.42314401098601,,"Seinäjoen kaupunki, Varhaiskasvatus","Seinäjoen kaupungin varhaiskasvatuksen oppimisympäristöjen, TVT- ja liikuntakasvatuksen kehittäminen",2.0,,,,,,,,,,,,,,-0.3,0.7,0.2595658518452145,0.28444444444444444,0.0,40,1,01 Varhaiskasvatus
"40Rauman kaupunki""Leikin voima"" - Pedagogiikan ja johtamisen kehittämishanke Rauman varhaiskasvatuksessa",62545.0,2789.0,419.0,12034.0,4963.0,0.0,0.0,0.0,0.0,0.0,0.0,82750.0,0.0,0.0,0.0,0.0,0.0,0.0,-82750.0,79.28017065436279,,Rauman kaupunki,"""Leikin voima"" - Pedagogiikan ja johtamisen kehittämishanke Rauman varhaiskasvatuksessa",2.0,,,,,,,,,,,,,,0.0,0.9,0.3526483146587035,0.4479166666666667,0.0,40,1,01 Varhaiskasvatus
40Taipalsaaren kuntaLänsi-Saimaan kuntien varhaiskasvatuksen pedagoginen kehittäminen,3801.0,453.0,0.0,11270.0,1568.0,197.0,0.0,0.0,0.0,0.0,0.0,17289.0,0.0,0.0,0.0,0.0,0.0,0.0,-17289.0,89.12770316734202,,Taipalsaaren kunta,Länsi-Saimaan kuntien varhaiskasvatuksen pedagoginen kehittäminen,2.0,,,,,,,,,,,,,,-0.1,0.7,0.28451816662624857,0.21,0.0,40,1,01 Varhaiskasvatus
40Turun kaupunkiPedagogiikan johtaminen varhaiskasvatuksessa,281433.0,797.0,4719.0,8396.0,383.0,100.0,0.0,0.0,0.0,0.0,0.0,295828.0,0.0,0.0,0.0,0.0,0.0,0.0,-295828.0,68.63830873322057,,Turun kaupunki,Pedagogiikan johtaminen varhaiskasvatuksessa,5.0,,,,,,,,,,,,,,-0.5,0.8,0.2908048776091737,0.24999999999999994,0.0,40,1,01 Varhaiskasvatus
40TyrnäväVarhaiskasvatuksen pedagogiikan uudistaminen,5000.0,1503.0,750.0,9217.0,1440.0,157.0,0.0,0.0,0.0,0.0,0.0,18067.0,0.0,0.0,0.0,0.0,0.0,0.0,-18067.0,79.41658023776901,,Tyrnävä,Varhaiskasvatuksen pedagogiikan uudistaminen,3.0,,,,,,,,,,,,,,0.0,0.2,0.06170046939847005,0.020952380952380955,0.0,40,1,01 Varhaiskasvatus
