,unique,ei-tuotos-tyyppia,henkiloestoeliikkuvuudet-lkm,julkaisut,kasikirja,koulutus,muu-tuotos,ohjelma,opiskelijaliikkuvuudet-lkm,raportti,selvitys,tapahtuma,toimintamalli,tutkimus,verkkosivut,min,max,std,mean
1122,"57Vehmaan kunta, koulutoimiVakka-Suomen tutoropettajien koulutushanke",,,,,,1,,,,,,,,,0.1,0.1,,0.1
1123,57Vesannon yhtenäiskouluOPS2016 todeksi.,1,,,,,,,,,,,,,,0.3,0.3,,0.3
1124,57Vesilahden kuntaPirkanmaan tutoropettajien koulutusohjelma,,,1,,,,,,,,,1,1,,0.0,0.9,0.26694219766866023,0.4444444444444445
1125,57Vieremän kuntaDIGIKAMU,,,,,,,,,,,,1,,,-0.6,0.2,0.4358898943540673,-0.09999999999999998
1126,57Vihdin kuntaTutorit ketteriksi opsin jalkauttamiseen Vihdissä,,,,,,1,,,,,,,,,0.4,0.4,,0.4
1127,57Vörå kommunTutorlärarnas utbildning och kompetensutveckling,,,,,,,,,,,,1,,,0.6,0.6,,0.6
1128,"57Ylitornion kunta, sivistystoimiTutoropettajien koulutus ja osaamisen kehittäminen",,,,,,2,,,,,,,,,0.0,0.0,,0.0
1129,57Ylivieskan kaupunkiYlivieskan digitutorit – Osaaminen haltuun,,,,,,,,,,,14,,,,-0.1,0.1,0.07071067811865478,0.014285714285714287
1130,57Ylöjärven kaupunkiPirkanmaan tutoropettajien koulutusohjelma,,,1,,,,,,,,,,2,,0.0,0.1,,0.03333333333333333
1131,57Ypäjän kunta Tutor-opettajien koulutus,1,,,,,,,,,,,1,,,-0.7,0.6,,-0.04999999999999999
1132,57Ähtärin kaupunkiValmiuksia digiloikkaan ilmiöpohjaisessa opetuksessa,,,,,,1,,,,,,,,,0.1,0.5,0.19148542155126766,0.35
1133,57Äänekosken kaupunkiÄänekosken opetuspalveluiden tutoropettajien vertaiskoulutus-hanke,,,1,,,,,,,,,1,,,0.0,0.0,,0.0
1134,58Akaan kaupunkiTutoropettajien toiminta / Akaa,,,,,,,,,,,,1,,,0.0,0.0,,0.0
1135,"58Alajärven kaupunki, SivistyslautakuntaYhdessä hyvä tulee",,,1,,,,,,,,,,,,-0.8,0.5,0.5221863378417435,-0.012499999999999985
1136,58Alavieskan kuntaTaitavana tutorina Alavieskan yhteinäiskoulussa,,,,,,,,,,,,1,,,0.3,0.3,,0.3
1137,58Alavuden kaupunkiTutoropettajien toiminta,,,1,,,,,,,,,2,,,-0.3,0.4,0.11785113019775793,0.05000000000000002
1138,58Apollon Yhteiskoulun Kannatusyhdistys ryTutoropettajien toiminta Apollossa,,,,,,,,,,,1,,,,0.0,0.8,0.5656854249492381,0.4
1139,58Asikkalan kuntaTutoropettajien toiminta,,,,,,,,,,,,1,,,-0.2,0.1,0.10327955589886444,-0.03333333333333334
1140,58Askolan kuntaTutorista tukea opettajalle,,,,,,,,,,,,1,,,0.0,0.0,0.0,0.0
1141,58Auran kuntaTutoropettajien toiminta,,,,,,,,,,,1,1,,,0.0,0.6,0.4242640687119285,0.3
1142,58Björneborgs svenska samskolaTutorlärarverksamhet,,,,,,1,,,,,,1,1,,0.2,0.7,0.1747939780919614,0.32222222222222224
1143,58Confido - Pohjanmaan kristillinen kasvatusSisäinen osaaminen kouluyhteisön kehittämisessä,,,,,,1,,,,,,2,,,-0.1,0.5,0.28284271247461906,0.16666666666666666
1144,58Elias-koulun kouluyhdistys ry.Tutoropettaja,,,,,,1,,,,,,,,,0.4,0.9,0.3535533905932738,0.65
1145,"58Esbo stad, Svenska bildningstjänsterLära tillsammans i vardagen",,,1,,,,,,,,,1,,,0.0,0.3,0.17320508075688773,0.05
1146,58Espoon kaupunkiUusi espoolainen peruskoulu,,,,,,1,,,,,,2,1,,0.0,0.4,0.10108535832661565,0.11071428571428571
1147,58Espoon kristillisen koulun kannatusyhdistys ryTUTOR,,,,,,,,,,,,1,,,-0.1,0.2,0.10488088481701516,0.05000000000000001
1148,58Etelä-Pohjanmaan Steinerkouluyhdistys ryTutoropettajan koulutus,,,,,,,,,,,,1,,,0.3,0.3,,0.3
1149,58Eurajoen kristillisen opiston kannatusyhdistys ryDigitutor Eurajoen kristillinen opisto,1,,,,,1,,,,,,,,,0.0,0.0,,0.0
1150,58Eurajoen kuntaTutoropettajien koulutus,,,,,,,,,,,1,1,,,-0.1,0.5,0.1755915629356699,0.11666666666666667
1151,58Euran kuntaTutoropettajien toiminta,,,,,,,,,,,,1,,,0.0,0.1,0.07071067811865478,0.05
1152,58Evijärven kuntaDigiloikan askelmerkit,1,,,,,,,,,,,,,,-0.8,0.9,0.6177917664283546,0.2833333333333333
1153,"58Forssan kaupunki, Sivistys- ja tulevaisuustoimialaTuella ja tuuppauksella – tutorointi osaamisen kasvattamisen ja kehittämistoiminnan menetelmäksi Forssan perusopetuksessa",1,,,,,,,,,,,,,,0.0,0.2,0.08164965809277261,0.1
1154,58Föreningen för Svenska samkolans i Tammerfors upprätthållandeTutorlärarnas verksamhet,1,,,,,,,,,,,,,,0.0,0.0,,0.0
1155,"58HAMINAN KAUPUNKI, Lasten ja nuorten koulutuspalvelutTutoropettajien toiminta",,,,,,,,,,,,1,,,-0.4,0.0,0.14960264830861913,-0.17142857142857146
1156,58Haapajärven kaupunkiTukea tutorista - virtaa verkosta II,,,1,,,,,,,,1,,,,-0.1,0.1,0.1,0.0
1157,58Haapaveden kaupunkiTutorit vauhdittamaan OPS-uudistusta,,,,,,,,,,,,1,,,-0.1,0.9,0.3752776749732567,0.20833333333333331
1158,58Hangö stadGemensam tutorlärarverksamhet för Hangö stads grundskolor enligt den nya lokala läroplanen,,,,,,,,,,,,,1,,0.0,0.4,0.28284271247461906,0.2
1159,58Hartolan kuntaTutoropettajan toiminta,,,1,,,,,,,,,,,,0.0,0.6,0.2065879266282796,0.1625
1160,58Hausjärven kuntaHausjärven tutor-opettajatoiminta,1,,,,,,,,,,,,,,-0.7,-0.7,,-0.7
1161,58Heinolan kaupunkiTutoropettajien toiminta / Heinola,,,,,,,,,,,,1,,,0.2,0.2,,0.2
1162,58Heinäveden kuntaTutor opettaja Heinävedelle,,,,,,,,,,,,1,,,0.2,0.2,,0.2
1163,58Helsingin Rudolf Steiner -koulun kannatusyhdistys rySteinerpedagoginen digiloikka Helsingin Rudolf Steiner -koulussa ,,,,,,,,,,,,1,,,0.4,0.4,,0.4
1164,58Helsingin Uusi yhteiskouluDigitutorit vertaistukena,,,1,,,,,,,,,1,,,0.0,0.3,0.17320508075688773,0.15000000000000002
1165,58Helsingin kaupungin opetusvirastoHelsingin tutoropettajatoiminta,,,,,,,,,,,3,,2,,-0.2,0.8,0.24517228326721394,0.14476190476190479
1166,58Helsingin yliopiston Viikin normaalikouluDigitutortoiminta - Hgin yliopiston harjoittelukoulut,,,1,,,,,,,,1,1,,,0.3,0.7,,0.5
1167,58Hollolan kuntaUusi perusopetus ohjelma Hollolassa (hakuryhmä 2),,,,,,,,,,,,1,,,0.0,0.3,0.1224744871391589,0.2
1168,58Huittisten kaupunkiDigituutorit muutosagentteina,,,,,,1,,,,,,1,,,0.0,0.7,0.3499999999999999,0.2375
1169,58Humppilan kuntaTutoropettajien toiminta,2,,,,,,,,,,1,,,,0.1,0.8,0.2150482454160612,0.38888888888888884
1170,58Hyrynsalmen kuntaHyrynsalmen tutoropetus,,,,,,,,,,,,1,,,-0.6,-0.6,,-0.6
1171,58Hyvinkään kaupunkiPedagogiset kouluttajat opettajan työn tukena,,,,,,1,,,,,,,,,0.1,0.1,,0.1
1172,58Hämeenkyrön kuntaVirtaa digiloikasta,,,2,,,,,,,,1,2,,,-0.1,0.7,0.1970444342303024,0.13999999999999999
1173,58Hämeenlinnan kaupunkiHämeenlinnan tutoropettajien toiminta 2017-2018,,,,,,,,,,,,1,,,-0.1,0.3,0.16733200530681513,0.1
1174,58Iin kuntaIin tutoropettajat digitaalisen ja pedagogisen kehittämisen tukena,,,1,,,,,,,,5,1,1,,-0.1,0.4,0.023570226039551594,0.09375
1175,58Iisalmen kaupunkiTutoropetoiminta,,,,,,,,,,,,2,,,-0.1,0.8,0.41123760084988786,0.33333333333333337
1176,58Iitin kuntaDigitaidot käyttöön Iitin alakoulujen perusopetuksessa,,,1,,,,,,,,2,,,,0.0,0.5,,0.16666666666666666
1177,58Ikaalisten kaupunkiTutoropettajien toiminta ,,,1,,,,,,,,,1,1,,0.0,0.3,,0.19999999999999998
