,unique,haku_id,osa_alue_id,osa_alue_nimi
113,11Centret för livslångt lärande vid Åbo Akademi och Yrkeshögskolan NoviaDigiPrep - Inspirera till pedagogisk digital kompetens,11,1,01 Varhaiskasvatus
114,11Hämeen ammattikorkeakoulu OyKoodausta kouluarkeen,11,1,01 Varhaiskasvatus
115,"11Lapin yliopisto, Koulutus- ja kehittämispalvelutEkaloikka",11,1,01 Varhaiskasvatus
116,"11Oulun yliopisto, Täydentävien opintojen keskus (TOPIK)Askelmerkit digiloikkaan",11,1,01 Varhaiskasvatus
117,"11Oulun yliopisto, Täydentävien opintojen keskusJohtamisen taitoja - Itsensä johtamista ja hyviä käytänteitä arkeen",11,1,01 Varhaiskasvatus
118,"11Oulun yliopisto, Täydentävien opintojen keskusTeknologiataidoista laaja-alaista osaamista varhaiskasvatukseen",11,1,01 Varhaiskasvatus
119,"11Innokas-verkosto, Helsingin yliopiston opettajankoulutuslaitosOhjelmoinnin opettajaksi MOOC-verkkokurssilla",11,1,01 Varhaiskasvatus
120,"11Jyväskylän yliopisto, Kokkolan yliopistokeskus ChydeniusValmentava ja osallistava johtaminen -verkostohanke",11,1,01 Varhaiskasvatus
121,11Lappeenrannan kaupunki/Saimaan mediakeskusOHO - Opetussuunnitelman haasteet opettajille,11,1,01 Varhaiskasvatus
122,11Lapin yliopisto / Koulutus- ja kehittämispalvelutVastuullisesti ja turvallisesti digiajassa,11,1,01 Varhaiskasvatus
123,11HY+ OyUudet ja sähköiset arviointikäytännöt,11,1,01 Varhaiskasvatus
124,"11Jyväskylän yliopisto, Kokkolan yliopistokeskus ChydeniusMinustako rehtori",11,1,01 Varhaiskasvatus
125,11HY+ OySovitteleva ja restoratiivinen oppimisyhteisö - menetelmiä koulurauhan edistämiseen ja kohtaamisen kulttuuriin,11,1,01 Varhaiskasvatus
126,11HY+ Oy Voimaa ohjaukseen ja opetukseen!,11,1,01 Varhaiskasvatus
127,"11Jyväskylän ammattikorkeakoulu, Ammatillinen opettajakorkeakouluMoninaisuuden kohtaaminen ja johtaminen",11,1,01 Varhaiskasvatus
