unique,personnel-costs-row.amount,material-costs-row.amount,rent-costs-row.amount,service-purchase-costs-row.amount,steamship-costs-row.amount,other-costs-row.amount,equipment-costs-row.amount,coordination-costs-row.amount,other-costs-row-2.amount,personnel-costs-row.amount-18,material-costs-row.amount-18,menotamount,project-incomes-row.amount,own-income-row.amount,eu-programs-income-row.amount,other-public-financing-income-row.amount,private-financing-income-row.amount,tulotamount,summaamount,SummienTodennakoisyys
99University of Helsinki University of Helsinki FIRST+,17320.0,28120.0,7320.0,0.0,15840.0,12948.0,0.0,0.0,0.0,0.0,0.0,81548.0,0.0,0.0,0.0,0.0,0.0,0.0,-81548.0,58.6296904952007
100Invalidisäätiö srReformi Telmassa - muutos mahdollisuudeksi,167827.0,6157.0,0.0,17015.0,14259.0,4084.0,11307.0,15147.0,0.0,0.0,0.0,235796.0,0.0,0.0,0.0,0.0,0.0,0.0,-235796.0,44.254902079301026
100Invalidisäätiö srUra On- Urasuunnittelulla osaaminen näkyväksi,256382.0,1131.0,0.0,5392.0,5895.0,2047.0,5232.0,20466.0,0.0,0.0,0.0,296545.0,0.0,0.0,0.0,0.0,0.0,0.0,-296545.0,41.32301759967502
100Koulutuskeskus Salpaus -kuntayhtymäAsiakkuuden hallinta-Asiakaslähtöisyys toiminnan perustana,351760.0,2758.0,0.0,35280.0,13140.0,8920.0,3035.0,10688.0,0.0,0.0,0.0,425581.0,0.0,0.0,315000.0,110581.0,0.0,425581.0,0.0,-78.90715154537224
100Etelä-Karjalan KoulutuskuntayhtymäRETEE - Reformia tekniikan aloille,314210.0,7724.0,0.0,20533.0,7306.0,4271.0,9565.0,15600.0,0.0,0.0,0.0,379209.0,0.0,0.0,0.0,0.0,0.0,0.0,-379209.0,43.85193853738942
100Marttayhdistysten liitto ryYtimet haltuun,219192.0,5003.0,3230.0,17010.0,14047.0,6037.0,9636.0,9808.0,0.0,0.0,0.0,283963.0,0.0,0.0,0.0,0.0,0.0,0.0,-283963.0,46.27127766384864
100Perho Liiketalousopisto OyKOPPI - Koulutukseen parempia palvelukokemuksia ja innovaatioita,393921.0,1961.0,0.0,23509.0,3515.0,2491.0,0.0,12600.0,0.0,0.0,0.0,437997.0,0.0,0.0,0.0,0.0,0.0,0.0,-437997.0,45.05912805262262
100Svenska Österbottens förbund för utbildning och kulturKärnprocesser i yrkesutbildningen - KÄPY,153148.0,74.0,0.0,0.0,4217.0,3611.0,438.0,8304.0,0.0,0.0,0.0,169792.0,0.0,0.0,0.0,0.0,0.0,0.0,-169792.0,46.6058663849201
100Hengitysliitto ryOsaamislautaset - osaavaa työvoimaa ravintola- ja catering-alalle,128903.0,4449.0,0.0,8361.0,11730.0,6078.0,7614.0,6708.0,0.0,0.0,0.0,173843.0,0.0,0.0,0.0,0.0,0.0,0.0,-173843.0,46.94738153972627
100Oulun seudun koulutuskuntayhtymä (OSEKK)Amis osaa,393833.0,3567.0,786.0,53947.0,22265.0,679.0,3863.0,21057.0,0.0,0.0,0.0,499997.0,0.0,0.0,0.0,0.0,0.0,0.0,-499997.0,39.54967908334073
100Helsinki Business College OyPopUpCollege - ketterästi kokeillen,137820.0,3749.0,18237.0,8080.0,2267.0,6660.0,1851.0,19000.0,0.0,0.0,0.0,197664.0,0.0,0.0,0.0,0.0,0.0,0.0,-197664.0,38.51959852177814
"100Luksia, Länsi-Uudenmaan koulutuskuntayhtymäPRIKKA – parastetaan ja rustataan idearikkaita käytäntöjä ja kulttuureja ammatilliseen koulutukseen ",856373.0,475.0,0.0,34283.0,23008.0,6776.0,1072.0,26134.0,0.0,0.0,0.0,948121.0,0.0,0.0,0.0,0.0,0.0,0.0,-948121.0,34.87974620832063
101Espoon seudun koulutuskuntayhtymä OmniaYhdessä tulevaan,186466.0,986.0,0.0,14703.0,4468.0,1152.0,0.0,8000.0,0.0,0.0,0.0,215775.0,0.0,0.0,0.0,0.0,0.0,0.0,-215775.0,46.682555223997305
101Ammattiopisto Spesia Oy / Ammattiopisto SpesiaMuutosjohtAMEO ,132760.0,61.0,2986.0,20383.0,14302.0,854.0,1005.0,9000.0,0.0,0.0,0.0,181351.0,0.0,0.0,0.0,0.0,0.0,0.0,-181351.0,46.45186086242296
101Salon seudun koulutuskuntayhtymäPOMO - Pomokillasta osaamista muutosjohtamiseen,132835.0,258.0,0.0,29757.0,6347.0,92.0,957.0,12798.0,0.0,0.0,0.0,183044.0,0.0,0.0,0.0,0.0,0.0,0.0,-183044.0,44.92106956169011
101Kotkan-Haminan seudun koulutuskuntayhtymäJohtajat Yhdessä Muutoksen Ytimessä - JYMY,370822.0,2772.0,1868.0,47684.0,19172.0,6784.0,0.0,18000.0,0.0,0.0,0.0,467102.0,0.0,0.0,0.0,134016.0,0.0,134016.0,-333086.0,37.966263441761996
103Axxell Utbildning AbMå bra tillsammans,149610.0,735.0,0.0,2133.0,5408.0,1534.0,479.0,8003.0,0.0,0.0,0.0,167902.0,0.0,0.0,0.0,0.0,0.0,0.0,-167902.0,46.761867731736274
106Hengitysliitto ryLaatu vieköön! - Laadulla ja tiedolla tulevaisuuteen,55540.0,0.0,0.0,10319.0,8314.0,501.0,0.0,5000.0,0.0,0.0,0.0,79674.0,0.0,0.0,0.0,0.0,0.0,0.0,-79674.0,59.670472640891006
106Tampereen Aikuiskoulutussäätiö sr/Tampereen AikuiskoulutuskeskusPikku hukka kakkonen,48961.0,724.0,0.0,0.0,1947.0,1488.0,0.0,3473.0,0.0,0.0,0.0,56593.0,0.0,0.0,0.0,0.0,0.0,0.0,-56593.0,69.47153082549693
106Turun konservatorion kannatusyhdistys ry. Konservatorioiden kehittyvä ohjausosaaminen: opettaja personal traineriksi,85967.0,167.0,0.0,4251.0,16088.0,2748.0,2855.0,4000.0,0.0,0.0,0.0,116076.0,0.0,0.0,0.0,0.0,0.0,0.0,-116076.0,64.07318194639295
106Valkeakosken seudun koulutuskuntayhtymäVertaisarvioinnilla tulosta,93860.0,0.0,57.0,3582.0,3423.0,0.0,0.0,3000.0,0.0,0.0,0.0,103922.0,0.0,0.0,0.0,0.0,0.0,0.0,-103922.0,72.40834120467204
106Svenska Österbottens förbund för utbildning o kultur/Yrkesakademin i ÖsterbottenWorking Quality - Quality in Work (senare WQ),107983.0,308.0,0.0,6768.0,5205.0,1681.0,2255.0,5027.0,0.0,0.0,0.0,129227.0,0.0,0.0,0.0,0.0,0.0,0.0,-129227.0,58.826548325997
106Valtakunnallinen valmennus-ja liikuntakeskus PajulahtiJUUPEDA- JotainUuttaUrheiluopistoPEDAgogiikassa,106502.0,0.0,0.0,2470.0,12012.0,9562.0,0.0,12933.0,0.0,0.0,0.0,143479.0,0.0,0.0,0.0,0.0,0.0,0.0,-143479.0,45.17134901610867
"106Etelä-Savon Koulutus Oy, Etelä-Savon ammattiopistoVETO-LAKU",70990.0,260.0,0.0,5415.0,7601.0,1126.0,0.0,5597.0,0.0,0.0,0.0,90989.0,0.0,0.0,0.0,68100.0,22889.0,90989.0,0.0,45.1095400244944
106Pohjois-Karjalan koulutuskuntayhtymäLOISTE V,92740.0,0.0,0.0,2705.0,7862.0,1069.0,0.0,5033.0,0.0,0.0,0.0,109409.0,0.0,0.0,0.0,0.0,0.0,0.0,-109409.0,59.49873012698775
106Salon seudun koulutuskuntayhtymäHyvin tekemistä länteen 2018,153350.0,650.0,0.0,6050.0,9550.0,3050.0,0.0,7500.0,0.0,0.0,0.0,180150.0,0.0,0.0,0.0,0.0,0.0,0.0,-180150.0,46.9196006529726
106Suomen DiakoniaopistoYhdessä eteenpäin 6,80856.0,704.0,0.0,6291.0,1301.0,48.0,0.0,3000.0,0.0,0.0,0.0,92200.0,0.0,0.0,0.0,0.0,0.0,0.0,-92200.0,71.89941099319917
106Marttayhdistysten liitto ry / Oulun Palvelualan OpistoLaadulla reformiin 2,58734.0,968.0,0.0,4922.0,3745.0,0.0,0.0,4886.0,0.0,0.0,0.0,73255.0,0.0,0.0,0.0,0.0,0.0,0.0,-73255.0,59.81036453912846
106Keski-Uudenmaan koulutuskuntayhtymäLARK 7 - Kohti itsearviointia,180510.0,18.0,0.0,6766.0,6234.0,1508.0,0.0,14663.0,0.0,0.0,0.0,209699.0,0.0,0.0,0.0,0.0,0.0,0.0,-209699.0,44.61847905689826
106Oulun seudun koulutuskuntayhtymäLaatusampo 5,129294.0,703.0,0.0,7271.0,11907.0,2693.0,0.0,7752.0,0.0,0.0,0.0,159620.0,0.0,0.0,0.0,0.0,0.0,0.0,-159620.0,46.89421925172411
106Jyväskylän koulutuskuntayhtymäSamassa veneessä 5 - Puhuria purjeisiin,100899.0,479.0,0.0,6007.0,6440.0,0.0,0.0,9101.0,0.0,0.0,0.0,122926.0,0.0,0.0,0.0,0.0,0.0,0.0,-122926.0,46.53094525473432
110Oulun kristillinen koulu / Oulun kristillinen kasvatus ry.Kristillisten koulujen kehittäminen ja verkostotyö 2017-2018,1220.0,0.0,122.0,4364.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,5759.0,0.0,0.0,0.0,0.0,0.0,0.0,-5759.0,97.05966207526339
