Unnamed: 0,personnel-costs-row.amount,material-costs-row.amount,rent-costs-row.amount,service-purchase-costs-row.amount,steamship-costs-row.amount,other-costs-row.amount,equipment-costs-row.amount,coordination-costs-row.amount,other-costs-row-2.amount,personnel-costs-row.amount-18,material-costs-row.amount-18,menotamount,project-incomes-row.amount,own-income-row.amount,eu-programs-income-row.amount,other-public-financing-income-row.amount,private-financing-income-row.amount,tulotamount,summaamount,SummienTodennakoisyys,radioButton-good-practices,organization_name,project_name,ei-tuotos-tyyppia,henkiloestoeliikkuvuudet-lkm,julkaisut,kasikirja,koulutus,muu-tuotos,ohjelma,opiskelijaliikkuvuudet-lkm,raportti,selvitys,tapahtuma,toimintamalli,tutkimus,verkkosivut,min,max,std,mean,sum,haku_id,osa_alue_id,osa_alue_nimi,poikkeavuus
57Pälkäneen kuntaPirkanmaan tutoropettajien koulutusohjelma,1560.0,0.0,0.0,1800.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,3512.0,0.0,0.0,0.0,0.0,0.0,0.0,-3512.0,98.19165984384293,0,Pälkäneen kunta,Pirkanmaan tutoropettajien koulutusohjelma,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9,0.26694219766866023,0.4444444444444445,3.0,57,2,02 Esi- ja perusopetus,230.0539086044352
"57Tampereen kaupunki, Vapeha,Pirkanmaan tutoropettajien koulutusohjelma",135186.0,538.0,0.0,21731.0,591.0,0.0,0.0,0.0,0.0,0.0,0.0,158046.0,0.0,0.0,0.0,0.0,0.0,0.0,-158046.0,77.55880609192677,0,"Tampereen kaupunki, Vapeha,",Pirkanmaan tutoropettajien koulutusohjelma,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9,0.20607030477429908,0.43333333333333335,4.0,57,2,02 Esi- ja perusopetus,229.10063049110022
57Pertunmaan kuntaPertunmaan tutoropettajan kouluttaminen kunnan koulujen tarpeisiin,895.0,0.0,0.0,690.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,1792.0,0.0,0.0,0.0,0.0,0.0,0.0,-1792.0,98.1953445302005,0,Pertunmaan kunta,Pertunmaan tutoropettajan kouluttaminen kunnan koulujen tarpeisiin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.07071067811865478,0.35,0.0,57,2,02 Esi- ja perusopetus,230.4284759424949
57Tampereen kristillinen koulu/Suomen AdventtikirkkoSuomen Adventtikirkon tutoropettajien koulutusohjelma,687.0,0.0,0.0,3051.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,4040.0,0.0,0.0,0.0,0.0,0.0,0.0,-4040.0,98.0548571661412,0,Tampereen kristillinen koulu/Suomen Adventtikirkko,Suomen Adventtikirkon tutoropettajien koulutusohjelma,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.2,0.0,0.04,5.0,57,2,02 Esi- ja perusopetus,229.08064582732908
57Tampereen Steiner-kouluyhdistys ryTope-koulutus 2017-18,2841.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2841.0,0.0,0.0,0.0,0.0,0.0,0.0,-2841.0,98.06898885112464,0,Tampereen Steiner-kouluyhdistys ry,Tope-koulutus 2017-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,-0.6,0.0,-0.6,0.0,57,2,02 Esi- ja perusopetus,222.98922241152843
"57Turun kaupunki, sivistystoimialaSchola Tutor Aboensis",32622.0,0.0,0.0,14442.0,169.0,275.0,0.0,0.0,0.0,0.0,0.0,47508.0,0.0,0.0,0.0,0.0,0.0,0.0,-47508.0,88.13407481280753,0,"Turun kaupunki, sivistystoimiala",Schola Tutor Aboensis,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,57,2,02 Esi- ja perusopetus,231.1056212185211
57Petäjäveden kuntaPetäjäveden tutoropettajien koulutus ja osaamisen kehittäminen,17894.0,0.0,0.0,563.0,109.0,51.0,0.0,0.0,0.0,0.0,0.0,18617.0,2400.0,0.0,0.0,6181.0,0.0,8581.0,-10036.0,69.54979636521887,0,Petäjäveden kunta,Petäjäveden tutoropettajien koulutus ja osaamisen kehittäminen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.9,0.3535533905932738,0.65,1.0,57,2,02 Esi- ja perusopetus,228.36289617347433
"57Alajärven kaupunki, SivistyslautakuntaOppia ikä kaikki",0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,-420.0,98.03968032974792,0,"Alajärven kaupunki, Sivistyslautakunta",Oppia ikä kaikki,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4242640687119285,0.3,1.0,57,2,02 Esi- ja perusopetus,231.03818351443346
57Turun seudun steinerkouluyhdistys ryUusi peruskoulu- ohjelma,532.0,0.0,0.0,500.0,179.0,299.0,0.0,0.0,0.0,0.0,0.0,1510.0,0.0,0.0,0.0,1200.0,300.0,1500.0,-10.0,94.47490117134028,0,Turun seudun steinerkouluyhdistys ry,Uusi peruskoulu- ohjelma,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.6,0.32015621187164245,0.125,1.0,57,2,02 Esi- ja perusopetus,231.19567121270194
57Tuusulan kuntaTutoropettaja uuden opetussuunnitelman tukena,16963.0,50.0,0.0,11307.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,28337.0,0.0,0.0,0.0,0.0,0.0,0.0,-28337.0,92.61637687010487,0,Tuusulan kunta,Tutoropettaja uuden opetussuunnitelman tukena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,57,2,02 Esi- ja perusopetus,230.88906219384114
57Tyrnävän kuntaTukea tutorista-virtaa verkostosta Tyrnävällä,2222.0,0.0,0.0,4649.0,1667.0,0.0,0.0,0.0,0.0,0.0,0.0,8538.0,0.0,0.0,0.0,0.0,0.0,0.0,-8538.0,96.14666794478727,0,Tyrnävän kunta,Tukea tutorista-virtaa verkostosta Tyrnävällä,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.07071067811865478,0.05,1.0,57,2,02 Esi- ja perusopetus,231.0208055767907
57Uudenkaupungin kaupunki / SivistyspalvelukeskusVakka-Suomen tutoropettajien koulutus ja osaamisen kehittäminen / Uusikaupunki,108.0,0.0,0.0,10897.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11005.0,4629.0,0.0,0.0,0.0,0.0,4629.0,-6376.0,84.12778426164256,0,Uudenkaupungin kaupunki / Sivistyspalvelukeskus,Vakka-Suomen tutoropettajien koulutus ja osaamisen kehittäminen / Uusikaupunki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.5,0.14142135623730953,0.4,1.0,57,2,02 Esi- ja perusopetus,230.5956581084493
57Ulvilan kaupunkiTutoropettajan /koulujen digitutoreiden  koulutushanke,0.0,0.0,0.0,1395.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,1436.0,5800.0,0.0,0.0,0.0,0.0,5800.0,4364.0,84.43402909639259,0,Ulvilan kaupunki,Tutoropettajan /koulujen digitutoreiden  koulutushanke,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,2,02 Esi- ja perusopetus,230.39104249714507
57Vaasan kaupungin sivistystoimiVaasan kehittäjätehdas,16494.0,0.0,0.0,5769.0,779.0,0.0,0.0,0.0,0.0,0.0,0.0,23042.0,0.0,0.0,0.0,0.0,0.0,0.0,-23042.0,97.29193167020901,0,Vaasan kaupungin sivistystoimi,Vaasan kehittäjätehdas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7,0.7,0.0,0.7,1.0,57,2,02 Esi- ja perusopetus,227.72146128575358
57Haapaveden kaupunkiTutorkoulutus Haapavesi,3000.0,0.0,0.0,386.0,154.0,560.0,0.0,0.0,0.0,0.0,0.0,4100.0,3700.0,0.0,0.0,0.0,0.0,3700.0,-400.0,92.87586482096394,0,Haapaveden kaupunki,Tutorkoulutus Haapavesi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.18257418583505536,0.2,1.0,57,2,02 Esi- ja perusopetus,231.22466657085928
"57Forssan kaupunki, Sivistys- ja tulevaisuustoimialaTutorit Työn Tueksi",327.0,74.0,0.0,4876.0,410.0,57.0,0.0,0.0,0.0,0.0,0.0,5744.0,0.0,0.0,0.0,0.0,0.0,0.0,-5744.0,97.60615716435194,0,"Forssan kaupunki, Sivistys- ja tulevaisuustoimiala",Tutorit Työn Tueksi,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,1.0,57,2,02 Esi- ja perusopetus,227.72233173948536
57Valkeakosken kaupunkiPirkanmaan tutoropettajien koulutusohjelma/ Valkeakoski,5136.0,0.0,0.0,4304.0,810.0,0.0,0.0,0.0,0.0,0.0,0.0,10250.0,0.0,0.0,0.0,0.0,0.0,0.0,-10250.0,97.73350634932885,0,Valkeakosken kaupunki,Pirkanmaan tutoropettajien koulutusohjelma/ Valkeakoski,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,57,2,02 Esi- ja perusopetus,230.82355567616617
57Vantaan kaupunkiTutoropettajien koulutus ja osaamisen kehittäminen,32588.0,0.0,0.0,61206.0,2334.0,20098.0,0.0,0.0,0.0,0.0,0.0,116226.0,108875.0,0.0,0.0,0.0,0.0,108875.0,-7351.0,42.38388773563457,0,Vantaan kaupunki,Tutoropettajien koulutus ja osaamisen kehittäminen,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.1,0.0,0.0,-0.025,4.0,57,2,02 Esi- ja perusopetus,229.8323142673941
